Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
44154569,"The AI Does Not Hate You: Superintelligence, Rationality and the Race to Save the World",Tom Chivers,"Chivers, Tom",,,,0,3.98,Weidenfeld & Nicolson,Kindle Edition,304,2019,,,2021/09/04,,,read,,,,1,,,0,,,,,
47173,The Norton Anthology of Theory and Criticism,Vincent B. Leitch,"Leitch, Vincent B.","William E. Cain, Laurie A. Finke, John P. McGowan, Barbara   Johnson, Jeffrey L. Williams",0393974294,9780393974294,0,4.14,W. W. Norton & Company,Hardcover,2662,2001,2001,,2021/09/04,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
57981,The End of History and the Last Man,Francis Fukuyama,"Fukuyama, Francis",,0743284550,9780743284554,0,3.57,Free Press,Paperback,464,2006,1992,,2021/09/04,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
117047,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,"Dawkins, Richard",,0141026162,9780141026169,0,4.07,Penguin,Paperback,466,2006,1986,,2021/09/04,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,0060589469,9780060589462,0,3.77,HarperTorch,Mass Market Paperback,540,2006,1974,,2021/08/05,currently-reading,currently-reading (#11),currently-reading,,,,1,,,0,,,,,
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,059309932X,9780593099322,0,4.24,Ace Books,Hardcover,688,2019,1965,,2021/09/04,currently-reading,currently-reading (#10),currently-reading,,,,1,,,0,,,,,
16287039,The Transhumanist Reader,Max More,"More, Max",Natasha Vita-More,1118334310,9781118334317,0,4.01,Wiley-Blackwell,Paperback,480,2013,2013,,2021/09/04,currently-reading,currently-reading (#9),currently-reading,,,,1,,,0,,,,,
26831944,"The Age of Em: Work, Love and Life When Robots Rule the Earth",Robin Hanson,"Hanson, Robin",,0198754620,9780198754626,0,3.41,Oxford University Press,Hardcover,368,2016,2016,,2021/09/04,currently-reading,currently-reading (#8),currently-reading,,,,1,,,0,,,,,
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,0525512179,9780525512172,0,4.16,Random House,Hardcover,372,2018,2018,,2021/08/05,currently-reading,currently-reading (#7),currently-reading,,,,1,,,0,,,,,
1099422,The Story of Tea: A Cultural History and Drinking Guide,Mary Lou Heiss,"Heiss, Mary Lou",Robert J. Heiss,1580087450,9781580087452,0,3.94,Ten Speed Press,Hardcover,432,2007,2007,,2021/08/01,,,read,,,,1,,,0,,,,,
